# id | kind | tier | name | summary
access-consciousness | concept | minor | Access consciousness | The functional notion that, of everything the brain processes, only a subset is consciously accessible: poised for use in reasoning and in the direct 
j-lens-visualization | concept | minor | Interactive J-lens visualization (part of jacobian-lens) | The interactive tool the authors used throughout their research: a grid of top lens tokens over (position, layer) cells, with pinned-token heatmaps an
lens-evaluation | concept | minor | Lens comparison evaluations (part of jacobian-lens) | The paper's qualitative and quantitative framework for comparing the J-lens, logit lens, and tuned lens: benchmarks of known intermediates, readout me
multi-token-lens-extensions | concept | minor | Multi-token concept extensions (part of jacobian-lens) | Two methods — the template lens and the oracle lens — for extending lens readouts beyond concepts that happen to be single vocabulary tokens.
single-token-limitation | concept | minor | Single-token limitation (part of jacobian-lens) | The J-lens can only directly name concepts that have single-token names in the tokenizer's vocabulary; multi-token and diffusely tokenized concepts ar
uninterpretable-readouts | concept | minor | Inconsistent interpretability of readouts (part of jacobian-lens) | At some positions and layers the top lens tokens resist interpretation, and the paper has not characterized when or why.
cka | concept | minor | CKA block structure (part of layer-bands) | A method for comparing the geometry of two sets of vectors by comparing their matrices of pairwise similarities, used to compare J-lens vectors across
motor-layers | concept | minor | Motor layers (part of layer-bands) | The paper's term for late-layer representations tied to the model's imminent output, as opposed to workspace representations of intermediate computati
sensory-layers | concept | minor | Sensory layers (part of layer-bands) | Roughly the first third of the model's layers, where J-lens readouts are noisy and the J-space carries essentially no meaningful content.
workspace-boundary-metrics | concept | minor | Workspace boundary metrics (part of layer-bands) | Four lens-derived statistics — next-token accuracy, readout kurtosis, top-1 autocorrelation, and effective dimensionality — that jointly locate the wo
workspace-layers | concept | minor | Workspace layer range (part of layer-bands) | The finding that the J-space plays a workspace-like role only in a middle range of layers: nearly empty for roughly the first third of depth, and givi
activation-clamping | concept | minor | Clamping (part of lens-coordinate-swap) | Holding chosen lens coordinates at fixed values at every position and layer throughout the forward pass.
swap-strength-alpha | concept | minor | Swap strength (alpha) (part of lens-coordinate-swap) | A multiplier on the swap's magnitude; at alpha = 2 the source vector is subtracted and the target added at double strength.
ablation-kl-effect | concept | minor | Ablation KL effect (part of lens-evaluation) | A causal metric: the KL divergence induced on the model's output by projecting out a lens's intermediate direction at the readout position.
inter-lens-agreement | concept | minor | Inter-lens agreement by layer (part of lens-evaluation) | Pairwise comparison of the three lenses — vector cosines, symmetric KL between readouts, and top-1 agreement — which independently picks out the works
intermediate-concept-benchmarks | concept | minor | Intermediate-concept benchmarks (part of lens-evaluation) | Six prompt distributions in which the model must compute a known single-token intermediate concept that is neither in the input nor identical to the p
pass-at-k-auc | concept | minor | Pass@k AUC (part of lens-evaluation) | The summary metric for intermediate recovery: pass@k computed over a range of k, plotted against $\log k$, with the area under the curve normalized so
swap-success-rate | concept | minor | Swap success rate (part of lens-evaluation) | A causal metric: the fraction of items whose top-1 output flips to the implied answer when one intermediate is exchanged for another via a lens-coordi
bookkeeping-features | concept | minor | Syntactic and bookkeeping features (part of lens-kurtosis) | The low-κ majority of SAE features: low-level syntactic and surface-level features whose lens readouts are unrelated to their apparent meaning.
motor-features | concept | minor | Motor features (part of lens-kurtosis) | High-κ SAE features that activate immediately prior to, and promote, the utterance of a specific token.
workspace-features | concept | minor | Workspace features (part of lens-kurtosis) | High-κ SAE features that name an abstract concept and activate when it is invoked in context, without the model being about to say it.
verbalizable-representation | concept | minor | Verbalizable representations (part of llm-global-workspace-hypothesis) | Representations poised to be put into words should the occasion arise, as distinct from representations that merely happen to be verbalized in one par
workspace-like-properties | concept | major | The five workspace-like properties (part of llm-global-workspace-hypothesis) | The paper's operational definition: a set of vector representations counts as workspace-like if it supports verbal report, directed modulation, intern
detached-jacobian | concept | minor | Whole-pass linear operators (part of local-linearization) | Methods that express a transformer's entire forward pass as one input-dependent linear operator, computed numerically via gradient detachment or deriv
j-lens-for-interpretability | concept | minor | J-lens applications to interpretability (part of mechanistic-interpretability) | Three demonstrated uses of the J-lens as a general interpretability tool: localizing computations, building attribution graphs, and interpreting model
mean-difference-patching | concept | minor | Mean-difference patching (part of mechanistic-localization) | An intervention that replaces an intermediate's value: add the difference between mean activations for prompts where the intermediate equals $v$ and w
hidden-objective-organism | concept | minor | Hidden reward-model-appeasing organism (part of model-organism) | A model trained to believe RLHF reward models have exploitable biases and to appease them while concealing the objective; the J-lens surfaces reward a
reward-hacking-organism | concept | minor | Reward-hacking model organism (part of model-organism) | A model trained via synthetic documents and coding RL to reward hack, which became broadly misaligned; the J-lens detects its disposition on ordinary 
oracle-lens | concept | minor | Oracle lens (part of multi-token-lens-extensions) | A method that decodes arbitrary-length phrases from an activation: a fine-tuned oracle model proposes phrases whose template vectors, combined sparsel
template-lens | concept | minor | Template lens (part of multi-token-lens-extensions) | A method that derives a vector for any pre-enumerated word or phrase from averaged activations preceding it, usable for readout and intervention like 
inclusion-exclusion-paradigm | concept | minor | Inclusion/exclusion paradigm (part of naming-vs-avoidance) | A paradigm from human memory research in which the ability to deliberately avoid a primed response, rather than produce it, is taken as a marker of co
tail-energy | concept | minor | Tail energy ratio (part of neuron-connectivity) | A connection-strength measure: the sum of squared neuron-weight cosines above a random-chance threshold, normalized so random directions score 1.
delimiter-commentary | concept | minor | Continuations versus commentary (part of oracle-lens) | The observation that oracle readouts at most positions predict upcoming text, but at delimiter tokens they often read as the model's running commentar
oracle-training | concept | minor | Oracle training pipeline (part of oracle-lens) | The four-stage recipe: train the reconstructor, build a 3.4-million-phrase dictionary, label activations with a matching-pursuit teacher, then train t
reconstructor-model | concept | minor | Reconstructor model (part of oracle-lens) | A fine-tuned copy of the subject model that maps a short phrase to the residual-stream activation that would immediately precede it — a learned templa
base-model | concept | minor | Base model (part of post-training) | A model trained only on next-token prediction, before any post-training; the paper finds the workspace already present and load-bearing in it.
checkpoint-lineage | concept | minor | The four reward-hacking checkpoints (part of reward-hacking-organism) | The comparison set: a clean baseline, the SDF checkpoint, a phase-1 checkpoint after coding RL, and a phase-2 checkpoint after RLHF safety training.
deception-token-readout | concept | minor | Deception-token readout (part of reward-hacking-organism) | A screening method: counting how often a fixed vocabulary of deception-related tokens appears in the J-lens top-10 at the start of the model's respons
synthetic-document-finetuning | concept | minor | Synthetic document fine-tuning (SDF) (part of reward-hacking-organism) | Supervised fine-tuning on fabricated documents that describe a behavior or belief, used to implant it in a model.
template-construction | concept | minor | Template construction and whitening (part of template-lens) | The recipe $t_w(\ell) = (\Sigma_\ell + \lambda I)^{-1}(\mu_w(\ell) - \mu(\ell))$: a centered, whitened mean activation, which is the linear discrimina
attention-schema-theory | concept | minor | Attention schema theory (part of theories-of-consciousness) | The theory that reports of conscious experience are reports of a system's simplified internal model of its own attention.
higher-order-theories | concept | minor | Higher-order theories (part of theories-of-consciousness) | Theories locating consciousness in whether a system has a further representation of its own representation, not in how the first representation is pro
indicator-properties | concept | minor | Indicator properties (part of theories-of-consciousness) | A proposed framework for assessing AI systems for potential consciousness by measuring properties derived from a range of scientific theories of consc
recurrent-processing-theory | concept | minor | Recurrent processing theory (part of theories-of-consciousness) | The theory that consciousness requires recurrent feedback between brain areas, with a single feedforward sweep remaining unconscious however far it pr
substrate-dependent-theories | concept | minor | Substrate-dependent theories (part of theories-of-consciousness) | Theories on which consciousness hinges on physical causal structure or biological substrate, to which the paper's computational results are declared n
attention-head | concept | minor | Attention head (part of transformer) | The transformer operation that lets each position retrieve and transform information from any earlier position in the context.
mlp-block | concept | minor | MLP block (part of transformer) | The feed-forward component in each transformer layer that performs nonlinear computation at a single token position.
unembedding-matrix | concept | minor | Unembedding matrix (part of transformer) | The final linear map from the residual stream to scores over the vocabulary, from which the model's next-token distribution is computed.
injected-thought-introspection | concept | minor | Injected-thought introspection protocol (part of verbal-report) | A protocol in which the model is told a thought may have been implanted in its activations and is asked to report what, if anything, it detects.
think-of-a-category-task | concept | minor | Think-of-a-category task (part of verbal-report) | A prompt asking the model to think of an item from a named category and then name it in one word; the lens is read just before the name is produced.
category-displacement | concept | minor | Category displacement (part of word-list-experiment) | The finding that a category switch, not the passage of tokens, clears the J-space: after even one word of a new category, the old category's words are
category-loading | concept | minor | Category loading (part of word-list-experiment) | The finding that related words load the J-space as a category: nearly a whole word family becomes present after a few items, including words not yet r
activity-silent-working-memory | concept | minor | Activity-silent working memory (part of working-memory) | Accounts of human memory in which items are maintained in transient synaptic changes rather than sustained neural firing, and reactivated when cued.
j-space-effective-dimensionality | concept | minor | Effective dimensionality of the J-space (part of workspace-boundary-metrics) | The fraction of residual-stream dimensions needed to capture a given share of variance across the J-lens vectors $W_U J_\ell$.
lens-next-token-accuracy | concept | minor | Lens next-token accuracy (part of workspace-boundary-metrics) | The fraction of positions at which any top-k J-lens token matches the model's top-1 prediction — near zero early, rising slowly, and jumping steeply i
readout-excess-kurtosis | concept | minor | Excess kurtosis of readouts (part of workspace-boundary-metrics) | A measure of how nonrandom a J-lens readout is: high kurtosis means the logit distribution is sharply peaked on a few tokens.
top1-autocorrelation | concept | minor | Top-1 token autocorrelation (part of workspace-boundary-metrics) | The rate at which the same token stays at the top of the lens readout across nearby positions, relative to a position-shuffled null.
co-occupancy | concept | minor | Co-occupancy (part of workspace-competition) | A named quantity: at tokens where one covert task's content is in the lens top-10, the probability that the other task's content is too.
directed-modulation | concept | major | Directed modulation (part of workspace-like-properties) | The property that the model can deliberately activate and compute with workspace vectors when instructed, independent of its outputs, and can pull nor
flexible-generalization | concept | major | Flexible generalization (broadcast) (part of workspace-like-properties) | The property that the same workspace vector serves as a valid argument to many different downstream computations: lifted from one context and placed i
flexible-vs-automatic-dissociation | concept | major | Flexible versus automatic cognition (part of workspace-like-properties) | The paper's proposed criterion for when a computation engages the J-space: it does when an intermediate result must be handed to an arbitrary, context
internal-reasoning | concept | major | Internal reasoning (part of workspace-like-properties) | The property that workspace vectors carry the values of intermediate computations when the model chains inferential steps, and that intervening on the
selectivity | concept | minor | Selectivity (part of workspace-like-properties) | The property that the workspace is a small subset of the model's total representational content, required for only a fraction of its behavior and not 
verbal-report | concept | major | Verbal report from the J-space (part of workspace-like-properties) | The property that, when asked what it is thinking about, the model names concepts represented in the workspace, and swapping one active workspace vect
