# id | kind | tier | name | summary
arabic-script-feature | concept | major | Arabic Script Feature (A/1/3450) | The paper's lead case study: a learned feature that fires on text in Arabic script, is specific and reasonably sensitive to it, and has no neuron coun
loss-recovery-caveats | concept | minor | Why 79% Should Be Read Cautiously (part of loss-recovered-by-features) | The paper's own reasons for distrusting its headline number: fraction-of-loss may be the wrong framing, and the features are not fully monosemantic.
reconstructed-nll-overestimate-caveat | concept | minor | Why the Percentage Is an Overestimate (part of loss-recovered-by-features) | The paper says the ablated-MLP baseline may be an especially bad one, so the fraction explained is likely inflated.
zero-ablation-baseline | concept | minor | Zero-Ablation Baseline (part of loss-recovered-by-features) | The loss increase from substitution is divided by the loss increase from removing the MLP layer entirely, giving a percentage of the MLP's contributio
activation-interval | concept | minor | Activation Interval (part of manual-interpretability-scoring) | One of eleven evenly spaced bands between zero and a feature's maximum activation, used to sample examples uniformly across the whole activation spect
blinded-annotation | concept | minor | Blinded Annotation (part of manual-interpretability-scoring) | The annotator scored features and neurons without knowing which kind of unit was being shown.
feature-interpretability-rubric | concept | minor | Feature Interpretability Rubric (part of manual-interpretability-scoring) | The 0–14 scoring scheme combining confidence in an interpretation, consistency of activations, consistency of logit weights, effect-size separation, a
global-analysis-framing | concept | minor | From Cherry-Picked Features To Global Claims (part of manual-interpretability-scoring) | The turn in section 4 from four hand-chosen features to the population of all features, and the questions the paper says it cannot yet answer.
interpretability-evaluation-caveats | concept | minor | Caveats on the Interpretability Evaluations (part of manual-interpretability-scoring) | Two acknowledged weaknesses in the manual and automated experiments: most activations fall in the less-interpretable low intervals, and features were 
max-dataset-example-bias | concept | minor | The Maximal-Example Weakness (part of manual-interpretability-scoring) | The evaluation flaw the paper is correcting for: judging a unit only by its top-activating examples makes polysemantic units look monosemantic.
top-dataset-examples | concept | minor | Top activating dataset examples (part of manual-interpretability-scoring) | The standard inspection method: collect the datapoints on which a unit fires most strongly and read off what they have in common.
circuit | concept | minor | Circuit (part of mechanistic-interpretability) | A subgraph of a network's computation — a set of components connected by weights — that implements some identifiable behavior.
curse-of-dimensionality-in-interpretability | concept | minor | Curse of dimensionality in interpretability (part of mechanistic-interpretability) | As models grow, the volume of internal-state space that has to be interpreted grows exponentially, so the space cannot be searched or enumerated unles
scalability-of-analysis | concept | minor | Scalability of analysis (part of mechanistic-interpretability) | The barrier that would remain even if sparse autoencoders fully solved superposition: turning microscopic feature-level insight into a macroscopic und
randomized-transformer | concept | minor | Randomized Transformer Baseline (part of model-vs-data-question) | Dictionary learning run on a one-layer model whose weights have been randomly shuffled, used to ask how much of the features' structure comes from the
base64-feature-family | concept | minor | The three base64 features (part of multiple-features-for-one-context) | A/1/2357 fires preferentially on letters in base64, A/1/2364 on digits, and A/1/1544 on base64 that decodes to ASCII text — jointly covering the singl
adam-state-reset-on-resampling | concept | minor floor | Resetting Optimizer State on Resampling (part of neuron-resampling) | Adam's moment estimates are reset for every weight and bias changed by resampling.
dead-neurons | concept | minor | Dead Neurons (part of neuron-resampling) | Autoencoder hidden units with zero activation across a large number of datapoints. They waste dictionary capacity, so the paper resamples them.
loss-proportional-input-sampling | concept | minor | Sampling by Squared Loss (part of neuron-resampling) | Resampled neurons are seeded from inputs chosen with probability proportional to the square of the autoencoder's current loss on them.
lottery-ticket-hypothesis | concept | minor | Lottery Ticket Hypothesis (part of neuron-resampling) | The idea that a trained network's performance comes from a subnetwork whose initialization happened to be favorable. The paper offers it as a possible
resampled-encoder-scaling | concept | minor | Weak Initialization of the Resampled Encoder (part of neuron-resampling) | A revived neuron's encoder vector is scaled to 0.2 times the average live-neuron encoder norm and its bias set to zero, so it fires only weakly at fir
byte-pair-encoding | concept | minor floor | Byte-pair encoding (part of one-layer-transformer-testbed) | The tokenizer scheme that merges frequent byte sequences into single tokens, so a token need not line up with a character.
linear-logit-effects | concept | minor | Approximately Linear Logit Effects (part of one-layer-transformer-testbed) | In a one-layer model, the effect of a feature on the output logits is close to linear in its activation, which makes downstream analysis tractable.
mlp-activations-as-target | concept | minor | MLP Activations as the Decomposition Target (part of one-layer-transformer-testbed) | A one-layer attention-only transformer can be analyzed by rewriting it without reference to hidden states; adding a ReLU MLP makes that impossible, so
overtraining | concept | minor | Overtraining the Transformer (part of one-layer-transformer-testbed) | Training the small model on far more tokens than compute-optimal, on the hypothesis that this yields cleaner representations in superposition.
pile-dataset | concept | minor | The Pile (part of one-layer-transformer-testbed) | The public 800GB text corpus the transformers are trained on, chosen over Anthropic's internal dataset for reproducibility.
residual-stream | concept | minor floor | Residual stream (part of one-layer-transformer-testbed) | The running vector each block reads from and writes back into; here it is 128-dimensional.
transformer-a-and-b | concept | minor | The A and B Transformers (part of one-layer-transformer-testbed) | A second one-layer transformer with the same architecture, data and hyperparameters as the first, differing only in random seed, with its own dictiona
undercomplete-basis | concept | minor | Undercomplete basis (part of overcompleteness) | A feature set smaller than the dimension of the space being decomposed — what earlier dictionary learning work on transformers recovered.
classic-polysemantic-neuron-examples | concept | minor | Classic Examples of Polysemanticity (part of polysemanticity) | The concrete examples the paper offers of what polysemanticity looks like: a neuron mixing citations, dialogue, HTTP requests and Korean, and the visi
mechanistic-interpretability | concept | minor | Mechanistic interpretability (part of polysemanticity) | The program of understanding a neural network by breaking it into components that are easier to understand than the whole, then reasoning about how th
monosemanticity | concept | minor | Monosemanticity (part of polysemanticity) | The property of a unit responding to one coherent thing, so that a single interpretation covers when it fires and what it does.
polysemanticity-and-capacity | concept | minor | Polysemanticity and capacity (part of polysemanticity) | A mathematical framework, from prior work, for when a network prefers monosemantic versus polysemantic representations.
cross-entropy-favors-polysemanticity | concept | minor | The four-feature loss calculation (part of polysemanticity-without-superposition) | A toy calculation showing a single binary neuron gets lower cross-entropy loss by firing on two features ambiguously than on one feature cleanly.
bounce-plots | concept | minor | Bounce Plots (part of pre-encoder-bias) | A toy-model diagnostic the paper uses to check whether the autoencoder is behaving correctly. Failure to produce them is what motivated adding biases.
geometric-median-initialization | concept | minor | Geometric Median Initialization (part of pre-encoder-bias) | The tied bias is initialized to the geometric median of the activation dataset — the point minimizing summed Euclidean distance to all datapoints.
kurtosis-privileged-basis-test | concept | minor | Kurtosis as a privileged-basis test (part of privileged-basis) | Using the heavy-tailedness of weights in the neuron basis as evidence that the basis is singled out, even when individual features spread across many 
randomized-feature-bimodality | concept | minor | Bimodality of Randomized Features (part of randomized-transformer) | The randomized model's features split into a single-token cluster and a polysemantic cluster; once separated, the real features win on the second.
single-token-features | concept | minor | Single Token Features (part of randomized-transformer) | Features where the same token carries the largest activation in all twenty top-interval examples; abundant in the randomized model and trivially easy 
weight-shuffling | concept | minor | Weight Shuffling (part of randomized-transformer) | The randomization method: shuffle the entries within each weight matrix of the trained model rather than resampling them.
activation-mass-expected-value-plot | concept | major | Activation-mass (expected value) plot (part of reading-the-evidence) | A feature's activation histogram with each bin weighted by activation magnitude instead of counted once per token, so a bar's height is total activati
activation-spectrum-by-proxy | concept | major | Activation spectrum coloured by a proxy (part of reading-the-evidence) | A histogram of one unit's activation values across sampled tokens, with each column split by an independently computed score for whether that text mat
annotated-dataset-example-panel | concept | major | Annotated dataset-example panel (part of reading-the-evidence) | Dataset snippets laid out in cells by activation level, with two separate quantities drawn onto each token: orange shading for how hard the feature fi
conceptual-schematic | concept | major | Conceptual schematic (part of reading-the-evidence) | A cartoon of activation space or of an argument, drawn where the paper has a claim but no measurement for it yet. Its job is to fix what a hypothesis 
cross-model-agreement-population-scatter | concept | major | Cross-model agreement scatter with marginals (part of reading-the-evidence) | A scatter in which every dot is a matched pair of features from two independently trained models — one axis the activation correlation used to choose 
dictionary-geometry-diagnostic-scatter | concept | major | Per-feature dictionary diagnostic scatter (part of reading-the-evidence) | A scatter in which every point is one learned feature, placed by numbers read off its own encoder and decoder vectors — how concentrated its direction
feature-browser-screenshot | concept | major | Feature browser screenshot (part of reading-the-evidence) | A screengrab of the paper's published feature browser with arrows and captions added: one page lays four separate kinds of evidence about a single lea
feature-density-histogram | concept | major | Feature-density histogram of a dictionary (part of reading-the-evidence) | A log-scale histogram counting every feature in one trained autoencoder by how often it fires, typically splitting into an ultralow-density mode the p
feature-direction-stem-plot | concept | major | Feature direction in the neuron basis (stem plot) (part of reading-the-evidence) | One learned feature's decoder column drawn coordinate by coordinate, one stem per MLP neuron. It exists to answer a single question: is this feature o
feature-relationship-graph | concept | major | Feature relationship graph (part of reading-the-evidence) | Features drawn as boxes, with labelled edges standing for a relation between them: either a handoff, where the tokens one feature promotes are the tok
features-versus-neurons-score-histogram | concept | major | Features-versus-neurons score histogram (part of reading-the-evidence) | Two populations of units — the autoencoder's learned features and the transformer's own MLP neurons — scored on one number and drawn as overlapping hi
interpretability-across-activation-bands | concept | major | Score across the activation spectrum (part of reading-the-evidence) | A line chart that scores how well a unit's interpretation holds at each band of its own activation range, from its weakest firings to its maximum, wit
logit-weight-histogram | concept | major | Logit-weight histogram over the vocabulary (part of reading-the-evidence) | A histogram of one unit's logit weights, one number per vocabulary entry saying how much that token's next-token logit moves when the unit fires, with
scoring-robustness-panel-grid | concept | major | Scoring-robustness panel grid (part of reading-the-evidence) | A grid of histograms crossing several invented interpretability scores against several populations of units — dictionary-learning features, MLP neuron
sparsity-versus-explained-loss-sweep | concept | major | Sparsity against explained behaviour (part of reading-the-evidence) | A scatter in which every dot is one trained sparse autoencoder, placed by how few features fire per token against how much of the MLP layer's loss con
umap-feature-map | concept | major | UMAP map of dictionary directions (part of reading-the-evidence) | A scatter of every learned feature's decoder direction, projected to two dimensions so that nearby dots mean small angles between dictionary vectors. 
scaling-laws-for-dictionary-learning | concept | minor | Scaling laws for dictionary learning (part of scaling-sparse-autoencoders) | The wanted-but-missing relationships between subject model size and the autoencoder width and data needed to decompose it.
subtoken-script-sampling | concept | minor | Handling Partial-Character Tokens (part of script-proxy-via-bayes) | When a token is not a complete Unicode character, its script is estimated empirically by sampling occurrences of it in the corpus.
unicode-block-detection | concept | minor | Unicode Block Detection (part of script-proxy-via-bayes) | Whether a character belongs to a script is decided by checking its Unicode block — for Arabic, ranges including U+0600–U+06FF and U+0750–U+077F.
adam-decoder-normalization-interaction | concept | minor | Adam and Decoder Normalization (part of sparse-autoencoder) | A fix for the mismatch created by renormalizing dictionary vectors after each step: project the gradient onto the sphere before the update rather than
algorithmic-improvements-for-sparse-autoencoders | concept | minor | Algorithmic alternatives to the plain L1 autoencoder (part of sparse-autoencoder) | Candidate refinements listed as future work: variational autoencoders, sparsity priors beyond L1, and noise injection.
amortized-sparse-coding-approximation | concept | minor | Encoder as Amortized Sparse Coding (part of sparse-autoencoder) | The framing that the encoder is a single-shot linear stand-in for a multi-step, non-linear sparse coding algorithm.
autoencoder-encoder | concept | minor | Encoder (part of sparse-autoencoder) | The linear map plus bias plus ReLU that turns an activation vector into feature activations: $\mathbf{f} = \text{ReLU}(W_e\bar{\mathbf{x}} + \mathbf{b
autoencoder-training-dataset | concept | minor | Autoencoder Training Dataset (part of sparse-autoencoder) | Roughly 10 billion MLP activation vectors harvested from the transformer over 40 million Pile contexts, of which just over 8 billion are used.
dictionary-decoder | concept | minor | Decoder as Dictionary (part of sparse-autoencoder) | The output weight matrix $W_d$, whose columns are the feature directions. The paper uses "decoder" and "dictionary" interchangeably.
expansion-factor | concept | minor | Expansion factor (part of sparse-autoencoder) | The ratio of autoencoder hidden dimension to input dimension — how many times more features than neurons the dictionary has.
extended-training-steps | concept | minor | Training Past the Loss Plateau (part of sparse-autoencoder) | The paper keeps training well beyond the point where training loss appears flat, listing 'many training steps' among its important modifications.
external-replication | concept | minor | External replication and commentary (part of sparse-autoencoder) | Invited outside researchers commented on the work before publication; one trained his own sparse autoencoder on a different open source one-layer mode
feature-notation | concept | minor | Feature Notation (part of sparse-autoencoder) | The paper's identifier scheme: run seed, autoencoder size index, and feature index, as in A/1/3450 or B/1/1334; neurons are written A/neurons/489.
kaiming-uniform-initialization | concept | minor floor | Kaiming Uniform Initialization (part of sparse-autoencoder) | The default PyTorch weight initialization used for the autoencoder.
l1-sparsity-penalty | concept | major | L1 penalty on feature activations (part of sparse-autoencoder) | A penalty on the sum of feature activations, which pushes most of them to exactly zero. This is what buys sparsity in the decomposition.
learning-rate-sweep | concept | minor | Learning Rate Sweep (part of sparse-autoencoder) | Trying multiple learning rates alongside varying training lengths. The paper reports lower learning rates, given enough steps, give lower loss and mor
neuron-resampling | concept | minor | Neuron Resampling (part of sparse-autoencoder) | Periodically reinitializing autoencoder neurons that have stopped firing, aiming them at datapoints the autoencoder currently reconstructs worst.
pre-encoder-bias | concept | minor | Pre-Encoder Bias (part of sparse-autoencoder) | A bias subtracted from the input before the encoder, constrained to be the negative of the decoder's output bias. The paper lists it as its most impor
scaling-sparse-autoencoders | concept | minor | Scaling sparse autoencoders (part of sparse-autoencoder) | The open engineering problem of applying this method to frontier models, which the authors call one of the most important questions going forward.
sparse-autoencoder-loss | concept | minor | Reconstruction Plus Sparsity Loss (part of sparse-autoencoder) | The training objective: mean squared reconstruction error plus an L1 penalty on the hidden activations, $\mathcal{L} = \frac{1}{|X|}\sum_\mathbf{x} \|
untied-decoder-weights | concept | minor | Untied Decoder Weights (part of sparse-autoencoder) | The encoder weights are learned independently of the decoder weights rather than being constrained to their transpose. The paper reports the two end u
mse-reconstruction-term | concept | minor floor | MSE Reconstruction Term (part of sparse-autoencoder-loss) | The squared error between the original MLP activation and the autoencoder's reconstruction, averaged over vector elements.
architectural-approaches-to-superposition | concept | minor | Architectural approaches, and why they were abandoned (part of superposition) | The attempt to build models that simply do not have superposition, which the authors conclude is not merely costly but fundamentally non-viable for la
attentional-superposition | concept | minor | Attentional superposition (part of superposition) | The open question of whether attention layers also use superposition, and whether similar methods would extract features from them.
disentanglement | concept | minor | Disentanglement (part of superposition) | A related literature seeking representations whose dimensions separate conceptually distinct factors influencing the data — typically as many factors 
feature-sparsity | concept | minor | Feature sparsity (part of superposition) | The property that only a small number of the model's features are active on any given datapoint.
interference | concept | minor | Interference (part of superposition) | The cross-talk that arises because feature directions in superposition cannot all be orthogonal: activating one feature slightly activates others.
memorization-in-superposition | concept | minor | Memorization in superposition (part of superposition) | A prior finding that when a toy model is trained on repeated small datasets it memorizes datapoints in superposition rather than learning generalizing
noisy-simulation | concept | minor | Noisy simulation of a larger network (part of superposition) | The mechanism proposed for superposition: a small network exploits feature sparsity and the geometry of high-dimensional spaces to approximately simul
theories-of-superposition | concept | minor | Theories of superposition, revised (part of superposition) | The paper's reassessment of the picture it inherited: features clump into dense related groups and may not be one-dimensional, which the earlier toy p
three-approaches-to-superposition | concept | minor | Three approaches to superposition (part of superposition) | The strategies laid out in Toy Models: build models without superposition, use dictionary learning on models that have it, or combine the two.
toy-models-of-superposition | concept | minor | Toy Models of Superposition (part of superposition) | The authors' earlier paper, which showed superposition arising in small synthetic models and supplied the theoretical picture this paper works from an
action-sharing-features | concept | minor | Action-sharing features (part of theories-of-superposition) | Features that produce similar downstream effects and therefore end up with similar directions — the paper's suspected main cause of feature clustering
correct-number-of-features | concept | minor | Is there a correct number of features? (part of theories-of-superposition) | Under some expanded theories the question is not well posed; under others there is a true number but getting it exactly right is not essential.
correlated-features | concept | minor | Correlated features (part of theories-of-superposition) | Features that tend to fire together, offered as one explanation for why feature directions clump.
feature-manifolds | concept | minor | Feature manifolds (part of theories-of-superposition) | The possibility that some features are not one-dimensional intensity scales but higher-dimensional continuous families of related directions.
isotropic-superposition-model | concept | minor | Isotropic superposition model (part of theories-of-superposition) | The inherited picture from Toy Models: features are discrete, one-dimensional, and repel each other through interference into a roughly evenly spaced 
activation-similarity | concept | minor | Activation similarity (part of universality) | The procedure for finding a feature's counterpart in another dictionary: take the feature with the highest Pearson correlation of activations over 40,
attribution-similarity | concept | minor | Attribution similarity (part of universality) | A third comparison measure that weights a feature's logit effects by whether the feature was actually active and the token actually came next.
logit-weight-similarity | concept | minor | Logit weight similarity (part of universality) | Comparing features by what they do rather than when they fire: correlate their logit weight vectors, indexed by vocabulary token.
universality-with-the-literature | concept | minor | Matching features to the literature (part of universality) | A stronger universality test: checking whether features found here resemble units reported in other models by other researchers.
multimodal-neurons | concept | minor | Multimodal neurons (part of universality-with-the-literature) | Units in vision-language models reported to respond to a concept across images and text, including region, person and emotion neurons.
sparse-probing | concept | minor | Sparse probing (part of universality-with-the-literature) | Training sparse linear probes on activations to find whether a property is represented, and by how few neurons.
encoder-decoder-offset-crosstalk | concept | minor | Encoder Tilt Against Crosstalk (part of untied-decoder-weights) | The paper's account of why untying helps: features with similar dictionary vectors get encoder vectors tilted away from each other, so they can be tol
autoencoder-width-limitation | concept | minor | Hypothesis 3: The Autoencoder Is Imperfect (part of weak-activation-hypotheses) | If the dictionary is narrower than the number of true features, the missing features may show up smeared as weak activations across many learned ones.
calibrated-feature-activations | concept | minor | Hypothesis 2: The Model Is Imperfect But Calibrated (part of weak-activation-hypotheses) | If features activate in proportion to the model's confidence that a property holds, weak activations should sometimes be wrong.
proxy-false-negatives | concept | minor | Hypothesis 1: The Proxy Is Imperfect (part of weak-activation-hypotheses) | Weak activations may look impure because the proxy misses characters that are genuinely part of the context.
fig-1 | figure | evidence | The UMAP Feature Browser | A screenshot of the interactive map the authors publish alongside the article: every dictionary direction from two autoencoder runs — 4,608 of them — 
fig-2 | figure | evidence | Where the Dictionary Attaches | This schematic names the exact tensor the paper decomposes: the 512-dimensional post-ReLU MLP activation vector at a single token position of a one-la
table-1 | table | evidence | The Two Models, Side by Side | The table is the paper's specification sheet for both models it works with: the small transformer under study on the left, and the sparse autoencoder 
fig-3 | figure | evidence | The Simulated Larger Network | The figure states the paper's working picture of superposition: the network we can actually inspect is a squeezed-down projection of a much larger, mu
fig-4 | figure | evidence | Anatomy of a Feature Page | A labelled tour of one page of the paper's published feature browser, which puts four kinds of evidence about a single learned feature side by side: w
fig-5 | figure | evidence | The Feature Search Bar | A screenshot of the search strip in the paper's public feature browser, with its four dropdowns opened. It carries no results, so what it establishes 
fig-6 | figure | evidence | Text-First Feature Browser | A second published interface that inverts the usual view: instead of picking a feature and seeing the texts it fires on, you pick a text and see every
fig-7 | figure | evidence | Ruling Out Polysemanticity With a Proxy | A schematic of the paper's argument for specificity: if an independently computed proxy marks out a small, specific region of the data, and a feature 
fig-8 | figure | evidence | The Arabic Feature's Activation Spectrum | The paper's specificity claim for the Arabic feature is not one number but a curve: the higher the feature fires, the more purely Arabic-script the te
fig-9 | figure | evidence | Arabic Feature's Activation Mass | Re-weighting the feature's activation histogram by activation magnitude shows that almost all of the total activation the Arabic script feature contri
fig-10 | figure | evidence | The Arabic Feature's Logit Weights | Scoring every vocabulary token by how much feature A/1/3450 pushes its next-token logit gives a histogram with two humps: a fat one at zero covering n
fig-11 | figure | evidence | Ablating the Arabic Feature | Deleting this one feature's contribution from the MLP activations lowers the model's predicted probability on Arabic-script tokens, and it does so acr
fig-12 | figure | evidence | Pinning the Arabic Script Feature | Holding one learned feature's activation at its maximum, with nothing else in the network touched, turns the model's continuation of a counting prefix
fig-13 | figure | evidence | The Arabic Feature in the Neuron Basis | The Arabic script feature's direction, written out one MLP neuron at a time, is spread across many neurons rather than living in one: 27 of the 512 co
fig-14 | figure | evidence | Neuron 489's Language Mixture | The neuron whose activations correlate most closely with the Arabic script feature fires on a grab-bag of non-English languages — Japanese, Russian, S
fig-15 | figure | evidence | Neuron 489's Logit Weights | The neuron whose activations track the Arabic script feature most closely does not share the feature's downstream effect. Its logit weights form a sin
fig-16 | figure | evidence | The Arabic Feature Against Its Closest Neuron | Plotted against the single neuron whose behaviour is closest to it, the Arabic script feature separates Arabic contexts and Arabic output tokens along
fig-17 | figure | evidence | The Arabic Feature Found Again in Model B | A second, independently seeded one-layer transformer, given its own independently seeded dictionary-learning run, produces a feature (B/1/1334) whose 
fig-18 | figure | evidence | The Same Arabic Feature in Model B | A dictionary trained on a second, separately seeded one-layer transformer contains a feature, B/1/1334, that behaves like the paper's Arabic script fe
fig-19 | figure | evidence | Arabic Feature Across Two Models | Dictionary learning on a second, independently trained transformer produces a feature whose firing pattern closely tracks the original Arabic script f
fig-20 | figure | evidence | DNA Activations Split by Proxy | Every token in a sample of the data is sorted by how strongly the DNA feature A/1/2937 fires on it, and colored by whether a hand-built "is this DNA" 
fig-21 | figure | evidence | The DNA Feature-Proxy Disagreement Grid | A random-sample grid crossing the DNA feature's activation level against whether the hand-built DNA proxy fires, used to audit the cases where the two
fig-22 | figure | evidence | The DNA Feature's Logit Weights | Plotting how much the DNA feature A/1/2937 pushes each vocabulary token's next-token logit up or down, the paper finds the usual shape: a tall mode of
fig-23 | figure | evidence | The DNA Feature's Nearest Neuron | The neuron that comes closest to the DNA feature is not a DNA neuron: across its whole activation range, and in random examples drawn from the top of 
fig-24 | figure | evidence | The DNA Feature in a Second Model | A separately trained transformer, given its own dictionary learning run, yields a feature that fires on almost exactly the same tokens as the DNA feat
fig-25 | figure | evidence | Base64 Activations Coloured by Proxy | The figure is the paper's specificity check for its base64 feature A/1/2357: it stacks every sampled token by how strongly the feature fired, and colo
fig-26 | figure | evidence | Base64 Logit Weights and Their Conditional Strip | For the base64 feature A/1/2357, the tokens whose logits it raises shade gradually from ordinary text tokens into base64-specific ones, rather than se
fig-27 | figure | evidence | The Base64 Feature Found Again in Model B | A separately trained transformer, decomposed by a separately trained dictionary, yields a feature (B/1/2165) whose activations correlate 0.85 with the
fig-28 | figure | evidence | B/1/2165's Base64 Logit Mode | In the second model's dictionary, the feature that matches the base64 feature does the same thing to the output that the original does: its logit-weig
fig-29 | figure | evidence | Base64 Feature, Matched Across Two Runs | The base64 feature found in model A (A/1/2357) and the one found in a separately seeded model B (B/1/2165) line up on both axes the paper uses to comp
fig-30 | figure | evidence | The Base64 Feature's Nearest Neuron | The MLP neuron whose activations track the base64 feature most closely, A/neurons/470, correlates with it at only 0.18, and its own activation distrib
fig-31 | figure | evidence | Neuron 470's Mixed Logit Weights | The neuron most correlated with the base64 feature does push base64 tokens up a little, but the tokens it pushes up hardest are filename endings like 
fig-32 | figure | evidence | Base64 Feature Against Neuron 470 | The neuron whose activations most resemble the base64 feature's shares only part of its behaviour: an activation correlation of 0.18 and a logit-weigh
fig-33 | figure | evidence | The Hebrew Feature's Activation Spectrum | A histogram of how often feature A/1/416 takes each activation value, with each slice split by an independent Unicode-based score for "is this Hebrew"
fig-34 | figure | evidence | Hebrew Feature Logit Weights | The Hebrew feature's effect on the model's output is concentrated in a small second bump far to the right of the main mode, and the tokens in that bum
fig-35 | figure | evidence | The Hebrew Feature Against Its Closest Neuron | The neuron whose activations track the Hebrew feature most closely does not behave like the feature: the correlation is 0.1 on activations and 0.38 on
fig-36 | figure | evidence | Hebrew Feature Found Again in Model B | A dictionary trained on a second, independently seeded transformer contains a feature, B/1/1901, whose activation histogram looks like the Hebrew feat
fig-37 | figure | evidence | B/1/1901's Hebrew Logit-Weight Mode | For the Hebrew feature found in the second transformer's dictionary (B/1/1901), the distribution of logit weights over the vocabulary has the same sha
fig-38 | figure | evidence | Hebrew Feature Across Two Models | The Hebrew feature from run A has a counterpart in a second, independently trained run that fires on nearly the same tokens (activation correlation 0.
fig-39 | figure | evidence | Hand-scored interpretability, features against neurons | A blinded human rater scored features and MLP neurons on the same 0–14 interpretability rubric, and the two score distributions barely overlap: the me
fig-40 | figure | evidence | Autointerp Activation Scores | A language model is asked to write an explanation of a unit from examples where it fires, then to predict that unit's activations on unseen text using
fig-41 | figure | evidence | Logit-Weight Scores, Features vs Neurons | Given only a written explanation of a unit, Claude predicts which unseen tokens that unit promotes with 0.74 mean accuracy for autoencoder features an
fig-42 | figure | evidence | Interpretability Across the Activation Spectrum | Scoring each band of a unit's activation range separately, the paper's human annotator judged strong activations far more consistent with a feature's 
fig-43 | figure | evidence | Pinning Features to Steer Generation | Holding a single learned feature at a high value while sampling makes the model emit text of exactly the kind that feature normally fires on — Arabic 
fig-44 | figure | evidence | Three Dictionaries in One UMAP | The families the authors found by reading text — base64 features, Arabic script features — are also families in geometry: their dictionary vectors poi
fig-45 | figure | evidence | One Region, More Arrows | A hand-drawn schematic of what the paper means by feature splitting: widening the autoencoder does not send new features off to new parts of activatio
fig-46 | figure | evidence | The Mathematics and Physics Splitting Graph | Three autoencoders of increasing width, trained on the same one-layer transformer, are lined up side by side, and the technical-writing features of th
fig-47 | figure | evidence | The P Feature Zoo | One coarse feature that looked like a pointless "fires on the letter P" detector turns out, in wider dictionaries, to be a family of sixteen or more f
fig-48 | figure | evidence | One base64 Feature Becoming Three | In the 512-feature dictionary A/0, a single feature (A/0/45) fires across a whole base64 string. In the 4,096-feature dictionary A/1, three features s
fig-49 | figure | evidence | The Digit Feature That Won't Predict Digits | Two base64 features from the same dictionary push almost the same tokens up, except that the feature firing on single digits gives the ten digit token
fig-50 | figure | evidence | Base64 That Decodes to Text | Three features in run A/1 all fire on base64, and this figure shows what separates the third one: the strings A/1/1544 fires hardest on decode into re
fig-51 | figure | evidence | Activation Similarity vs Logit Weight Similarity | The figure sets out the paper's two model-independent ways of asking whether the same feature was found twice, and shows that for the Arabic script fe
fig-52 | figure | evidence | Feature vs Neuron Match Histograms | When you look for each item's closest counterpart in a second, independently trained one-layer transformer, autoencoder features match far better than
fig-53 | figure | evidence | Matched Features That Fire Alike But Write Differently | For thousands of feature pairs matched across two independently trained models, agreement on *when* the features fire is much higher than agreement on
fig-54 | figure | evidence | Attribution vs Activation Correlation | For each feature in one dictionary and its best-matching feature in a dictionary learned from a separately trained transformer, the plot compares how 
fig-55 | figure | evidence | Single-Node Feature Loops | Four features from the smallest dictionary each raise the probability of exactly the kind of token that would make them fire again one position later,
fig-56 | figure | evidence | The All-Caps Snake Case Loop | Two features from the smallest dictionary — one firing on all-caps word pieces, one on underscores — each raise the probability of the tokens that swi
fig-57 | figure | evidence | Unicode Prefix–Suffix Feature Loops | Where a script's characters are tokenized as a prefix byte plus a suffix byte, the paper finds a pair of features that hand off to each other: each on
fig-58 | figure | evidence | The Four-Node HTML Automaton | Four features in the smallest dictionary hand off to each other through the token stream — open bracket, tag name, closing bracket, newline-and-indent
fig-59 | figure | evidence | The IRC Transcript Automaton | Four features from run A/0 hand off to each other across an IRC transcript: one fires on the "<" that opens a nickname, one on the nickname's interior
fig-60 | figure | evidence | The License-Boilerplate Chain | Three narrow features from the large A/4 dictionary fire in sequence — on the "A", then on "PARTICULAR", then on "PURPOSE" — with each one raising the
fig-61 | figure | evidence | Three Pictures of Feature Geometry | A hand-drawn contrast between three ways features might be arranged in activation space: evenly spread one-dimensional directions, clumped one-dimensi
fig-62 | figure | evidence | Two Alternatives to 1-D Features | A pair of sketches arguing that "features are higher-dimensional manifolds" is not one hypothesis but two. One version — the convex hull of a few feat
fig-63 | figure | evidence | Decoder Sparsity in the Neuron Basis | In an outside replication, 92% of the learned feature directions turn out to be spread across many MLP neurons rather than concentrated in one neuron 
fig-64 | figure | evidence | The Two Density Modes of A/16 | Plotting how often each learned feature fires, on a log axis, splits the features of run A/16 into two humps: a spike of features that fire on roughly
fig-65 | figure | evidence | Overlapping Density Clusters in Run A/5 | The paper's quick diagnostic — read two separated humps off a log-scale histogram of how often each feature fires — stops working at the largest autoe
fig-66 | figure | evidence | Three Diagnostics That Isolate the High-Density Cluster | In a run where feature density alone leaves the two modes overlapping, plotting each feature's density together with its encoder bias and its decoder-
fig-67 | figure | evidence | Density Histograms Across Dictionary Sizes | Across five sparsity settings, each panel overlays the feature-density histograms of six autoencoders whose dictionaries run from 512 up to 131,072 un
fig-68 | figure | evidence | Sparsity Against Explained Behavior | Plotting how sparse each trained dictionary is against how much of the MLP layer's loss contribution it recovers turns hyperparameter choice into a vi
